Epochs,Training Accuracy,Validation Accuracy
1,43.64,58.9
2,69.34,73.82
3,78.8017097732377,80.56823947234906
4,84.8148953126132,85.48959918822932
5,89.09657320872275,80.46676813800102
6,91.41490980221691,81.98883815322172
7,93.14641744548287,92.54185692541857
8,93.68977758458306,93.15068493150685
9,94.435992175614,94.46981227803145
10,95.22567557777295,95.07864028411974
11,95.77628051872782,95.28158295281582
12,95.80525972614649,91.62861491628615
13,96.49351590234006,96.90512430238458
14,96.40657828008403,94.92643328259767
15,96.99340723031226,96.54997463216641
16,97.0731000507136,97.05733130390665
17,97.28319930449902,97.4124809741248
18,97.43534014344708,95.78893962455606
19,97.83380424545389,95.99188229325216
20,97.79758023618054,96.70218163368848
21,97.8555386510179,97.66615930999492
22,98.04390349923929,97.4124809741248
23,98.05839310294863,94.67275494672755
24,98.3481851771354,97.4124809741248
25,98.60175324204883,97.91983764586504
26,98.80460769397956,97.10806697108067
27,98.21777874375135,94.62201927955353
28,98.41338839382743,98.42719431760527
29,98.89154531623561,98.07204464738712
30,98.48583641237413,98.02130898021309
31,99.08715496631167,98.37645865043125
32,99.02919655147431,97.51395230847285
33,98.85532130696225,97.91983764586504
34,99.05093095703832,98.57940131912734
35,99.07266536260234,97.97057331303907
36,99.18858219227704,97.71689497716895
37,99.00746214591031,98.37645865043125
38,99.18858219227704,96.49923896499239
39,99.34796783307976,98.07204464738712
40,99.11613417373034,96.24556062912227
41,99.39143664420779,98.02130898021309
42,99.37694704049844,98.78234398782344
43,99.1523581830037,97.10806697108067
44,99.36970223864377,98.78234398782344
45,99.2682750126784,98.42719431760527
46,99.42041585162646,97.71689497716895
47,99.23929580525973,97.05733130390665
48,99.44215025719046,97.36174530695078
49,99.49286387017315,98.68087265347539
50,99.31174382380642,98.27498731608321
