Epochs,Training Loss,Validation Loss
1,1.854959066869521,1.2186707255200406
2,0.9708758965442296,0.9528158295281582
3,0.6578280084039702,0.3906646372399797
4,0.4784467144823589,0.5154743784880771
5,0.35035861769180615,0.49974632166412986
6,0.2744330942548721,0.21867072552004058
7,0.22509599362457436,0.4530695078640284
8,0.18872708831413462,0.2343987823439878
9,0.17068753169600812,0.07813292744799594
10,0.1458378613344925,0.14053779807204464
11,0.12823299282764616,0.07813292744799594
12,0.12055350286169673,0.09386098427194317
13,0.1067883793378251,0.17148655504819887
14,0.10461493878142433,0.04667681380010147
15,0.08867637470115192,0.07813292744799594
16,0.08614069405201767,0.09386098427194317
17,0.07505614721437369,0.09386098427194317
18,0.07418677099181338,0.07813292744799594
19,0.06259508802434254,0.14053779807204464
20,0.06542056074766354,0.2343987823439878
21,0.061291023690502065,0.015220700152207
22,0.05759617474462073,0.03145611364789447
23,0.05223502137216547,0.015728056823947234
24,0.04788814025936391,0.0471841704718417
25,0.043541259146562344,0.015728056823947234
26,0.034919944939505905,0.015728056823947234
27,0.046004491777149895,0.10908168442415017
28,0.04433818735057596,0.03145611364789447
29,0.032818952401651814,0.09386098427194317
30,0.03970151416358762,0.09335362760020294
31,0.023038469897848295,0.030948756976154235
32,0.02774759110338332,0.09386098427194317
33,0.02905165543722379,0.20294266869609334
34,0.023980294138955298,0.03145611364789447
35,0.0229660218793016,0.1248097412480974
36,0.02289357386075491,0.015728056823947234
37,0.025284358472795768,0.0
38,0.020502789248714046,0.030948756976154235
39,0.01688038832137941,0.015220700152207
40,0.02289357386075491,0.07813292744799594
41,0.015648772006085634,0.015728056823947234
42,0.015938564080272406,0.0
43,0.01985075708179381,0.030948756976154235
44,0.013910019560965008,0.015728056823947234
45,0.018039556618126493,0.0
46,0.014272259653698471,0.030948756976154235
47,0.016735492284286026,0.015728056823947234
48,0.012968195319858001,0.0
49,0.010504962689270448,0.10908168442415017
50,0.017242628414112875,0.04667681380010147
